inputs,labels,predictions
Blíží se velký návrat českého smolaře.,The big comeback of the Czech underdog is coming.,The big return of the Czech smolár is approaching.
Pavel Francouz byl povolán do NHL,Pavel Francouz has been called up to the NHL,Pavel Francouz was called up to the NHL.
"Český hokejový brankář Pavel Francouz, který si v posledních měsících prochází těžkým obdobím své kariéry, se vrací zpátky do NHL.","Czech hockey goal-keeper Pavel Francouz, who has been going through a rough patch in his career, is returning to the NHL.","Czech ice hockey goaltender Pavel Francouz, who has been going through a tough period in his career in recent months, is returning to the NHL."
Jednatřicetiletý plzeňský rodák bude na střídačce a brzy by se tak mohl dostat i do branky.,The thirty-one-year-old Pilsen native will be on the bench and could soon be in goal.,The 30-year-old Plzeň native will be on the bench and could soon be in goal.
"Bývalý brankář Litvínova, Plzně či ruského Čeljabinsku se zranil v přípravě na NHL v říjnu letošního roku.","The former goalie of Litvínov, Pilsen and Chelyabinsk was injured in preparation for the NHL in October this year.","Former goalkeeper of Litvínov, Plzeň or Russian Chelyabinsk was injured in preparation for the NHL in October this year."
Přesně v polovině utkání s Vegas střídal a od této doby se na kluzištích NHL dosud nepředstavil.,He was benched in the middle of a game with Vegas and hasn't appeared in the NHL since.,Exactly in the middle of the game with Vegas he was substituted and since then he has not appeared on the ice in the NHL.
"K incidentu došlo v momentě, kdy se zkušený brankář přesouval od jedné tyčky ke druhé.",The incident occurred when the experienced goalkeeper was moving from one goalpost to the other.,The incident occurred at the moment when the experienced goalkeeper was moving from one post to the other.
"„Pavel Francouz bude mimo přibližně tři až čtyři týdny se zraněním ve spodní části těla,“ oznámil celek z Denveru na začátku října.","""Pavel Francouz will be out for around three to four weeks with a lower-body injury,"" the Denver team announced in early October.","“Pavel Francouz will be out for approximately three to four weeks with an injury to the lower body,” the team from Denver announced in early October."
Jeho návrat do branky v NHL se nakonec prodloužil na více jak dva měsíce.,"In the end, his time away from the NHL was extended by more than two months.",His return to the NHL net eventually extended to more than two months.
"V neděli dopoledne amerického času byl povolán z farmy, kde odchytal čtyři duely a ukázal svou starou formu.","On Sunday morning, he was called up from the farm team, where he had played four games and demonstrated his old form.","On Sunday morning US time, he was called from the farm, where he caught four duels and showed his old form."
"V AHL si totiž připsal 94,5 % zákroků.","In the AHL, he scored 94.5% saves.",He actually recorded 94.5% of the saves in AHL.
"Odchovanec plzeňského hokeje se chce konečně prosadit a potvrdit, že do nejlepší ligy světa patří.",The Pilsen-born hockey player wants to finally make his presence felt and confirm that he belongs in the best league in the world.,Former Plzeň hockey player wants to finally succeed and confirm that he belongs to the best league in the world.
V posledním ročníku měl problémy s kyčlemi a ve zkráceném pandemickém ročníku neodchytal jediné utkání.,He had hip problems last year and during the shortened pandemic year didn't play a single game.,"In his last season, he had problems with his knee and in the shortened pandemic season he did not catch a single game."
"V NHL „Francík“ odchytal 36 utkání, jeho úspěšnost zákroků je na čísle 92,3 %.","He has played 36 games in the NHL, where his save percentage is 92.3%.","In the NHL, ""Francík"" played 36 games, his save percentage is 92.3%."
"Charles na vánočním přání nasazuje Camille roušku, William a Kate pózují v Jordánsku","Charles puts a mask on for Camilla on Christmas card, William and Kate pose in Jordan","Charles puts a mask on Camilla for Christmas wishes, William and Kate pose in Jordan"
Britský princ William a jeho manželka Kate jako letošní vánoční přání vybrali rodinnou fotografii pořízenou během cesty do Jordánska.,"Britain's Prince William and his wife, Kate, have chosen a family photo taken during a trip to Jordan as this year's Christmas card.",British Prince William and his wife Kate chose a family photo taken during their trip to Jordan as their Christmas wish this year.
"Své přání zveřejnil také princ Charles, který použil fotografii, na níž své choti Camille na dostizích pomáhá nasadit roušku.","Prince Charles also published his seasonal wishes, using a photo of him helping his wife Camilla to put on a mask at the races.","Prince Charles also shared his wish, using a photo of his wife Camilla helping him put on a mask."
Na svých internetových stránkách o tom informovala britská zpravodajská stanice BBC.,The BBC website reported this.,"On its website, the British news channel BBC reported on this."
"Přání posílají přátelům, spolupracovníkům a nadacím, se kterými spolupracují.","Their Christmas cards are sent to friends, colleagues and the foundations they work with.","They send wishes to friends, colleagues and foundations they collaborate with."
