inputs,labels,predictions
India's PM to attend temple groundbreaking at disputed site,Forsætisráðherra Indlands mun mæta í skóflustungu fyrir byggingu hofs á umdeildum stað,Índlandsstjórnarleiðtogi á að vera á staðnum þegar hof á grundvelli er lagt á deiluðum staðnum
"NEW DELHI (AP) - Indian Prime Minister Narendra Modi will attend a groundbreaking ceremony next month for a Hindu temple on a disputed site in northern India where a 16th century mosque was torn down by Hindu hard-liners in 1992, according to the trust overseeing the temple construction.","NÝJA-DELÍ (AP) – Narendra Modi, forsætisráðherra Indlands, verður viðstaddur skóflustunguathöfn fyrir byggingu hindútrúarhofs á umdeildum stað í Norður-Indlandi, þar sem moska frá 16. öld var rifin niður af strangtrúuðum hindúum árið 1992, að sögn samtakanna sem hafa umsjón með byggingu hofsins",NÝJU DELÍ (AP) - Íranski forsætismaður Narendra Modi mun taka þátt í grundvallarhátíð fyrir hindúatempel á deilu
"The ceremony is set for Aug. 5, a date organizers said was astrologically auspicious for Hindus but that also marks a year since the Indian Parliament revoked the semi-autonomous status of its only Muslim-majority state, Jammu and Kashmir.","Athöfnin á að fara fram 5. ágúst, en skipuleggjendur segja þá dagsetningu boða lukku fyrir hindúa samkvæmt stjörnuspeki auk þess sem þá er ár liðið frá því að indverska þingið afnam sérstaka sjálfstjórnarstöðu eina ríkisins þar sem múslimar eru í meirihluta íbúa, Jammu og Kasm","Hátíðin er ákveðin fyrir 5. ágúst, dag sem að stjórnmálamenn segja er gagnlegur fyrir hindúa, en sem einn"
"The symbolism was impossible to miss for both supporters and opponents of Modi's Hindu nationalist Bharatiya Janata Party, or BJP, whose manifesto had for decades included pledges to strip restive Kashmir's autonomy and to build a temple to the Hindu god Ram where the Mughal-era mosque once stood, a site in the city of Ayodhya in Uttar Pradesh state that devotees believe to be Ram's birthplace.","Symbólisminn í dagsetningarvalinu var augljós bæði stuðningsmönnum og andstæðingum hins þjóðernissinnaða hindúflokks Modi, Bharatiya Janata-flokksins, eða BJP, en flokkurinn hefur áratugum saman haft það að stefnu sinni að afnema sjálfstjórn Kasmírs og byggja hof hindúguðsins Ram þar sem moskan fr","Hugmyndin var óþekkt fyrir bæði stuðlendur og andstæðendur Modi Hindu-náttúrufélagsins Bharatiya Janata Party, eða"
"Because the coronavirus is still rampaging across India, which has reported the world's third-highest caseload, the ceremony will be broadcast live on state television and the number of participants and spectators will be limited, according to Vishwa Hindu Parishad, or the World Hindu Organization, a Hindu nationalist group allied with the BJP.","Kórónuveiran er enn skæð víða í Indlandi, en þar greinist þriðji mesti fjöldi tilfella á heimsvísu, og því verður athöfnin send beint út í ríkissjónvarpinu og fjöldi þátttakenda og áhorfenda verður takmarkaður, samkvæmt Vishwa Hindu Parishadm, eða heimssamtökum hindúa, þjóðræknum hóp sem hefur teng","Því að coronavirusi er enn í fullu gangi í Indlandi, sem hefur skráð það hæsta fjölda fella á heimsvísu, verður það sendi"
"The temple will serve as ""an enduring and immortal beaming center of social harmony, national unity and integration and awakening of the feeling of Hindutva,"" or Hindu way of life, the organization's spokesperson Vinod Bansal said in a news release Saturday.","Hofið á að verða „varanleg og ódauðleg, ljómandi miðstöð félagslegs samhljóms, þjóðareiningar og samlögunar og vakningar tilfinningarinnar um Hindutva,“ eða hindúlífernis, sagði Vinod Bansal, talsmaður samtakanna, í fréttatilkynningu á laugardaginn.","Tempið mun gilda sem ""þróðleg og ódauðlegur strálfjöllinn fyrir samfélaglegt samvinnu, þjóðernis- og sameiningu og"
A century-long dispute over the site was resolved last year following the BJP's landslide election victory.,Leyst var úr aldarlöngum ágreiningi um staðsetninguna í fyrra eftir öruggan kosningasigur BJP.,Aðgerðin var lögleiðinnað í kjördreifingunni árið 2014.
"In November, the Supreme Court ruled in favor of the temple trust, saying that Muslim petitions would be given five acres at an alternative site.",Í nóvember úrskurðaði hæstiréttur samtökum hofsins í vil og sagði að múslimar fengju fimm ekrur á öðrum stað.,"Í nóvember ákvaði Hæstarétt að fylgja trúnaðarværi templans, og sagði að múslímskum fyrirspurnum yrð"
Hindus hard-liners have long contended that Mughal Muslim invaders built a mosque on top of a preexisting temple in the ancient city of Ayodya.,Strangtrúaðir hindúar hafa lengið haldið því fram að múslimskir innrásarmenn Mógúlveldisins hafi byggt mosku ofan á hof sem þar var fyrir í hinni fornu Ayodya-borg.,Hindu hægrar hafa lengi haldið fram að Mughal múslimar byggðu moskju á toppi gamla tempils í gamla borginni Ayodya.
"A December 1992 riot following the destruction of the mosque sparked communal violence in which about 2,000 people were killed, mostly Muslims.","Óreiðir í desember 1992 í kjölfar niðurrifs moskunnar leiddu til ofbeldis í samfélaginu þar sem um 2000 létust, flestir þeirra múslimar.",Aðgerðir árið 1992 í desember eftir að moskun var eyðilagð varð til samfélagshátta þar sem um 2.000 manns létu
"Meanwhile, the trial in the demolition court case continues to be heard in a special court.",Réttarhöld um niðurrifið eru enn í gangi hjá sérstökum dómstól.,Hlutverk ákvæða ágóða ákvæða ágóða ágóða ágóða ágóða ágóða ágóða á
