inputs,labels,predictions
I see it all the time in my line of work.,Я постоянно вижу такое в своей сфере деятельности.,Я часто видел это в своей работе.
And it doesn’t even have to be life or death to be frustrating.,"И это даже не должно быть вопросом жизни и смерти, чтобы расстраивать.","И это не обязательно должно быть жизнь или смерть, чтобы быть раздражающим."
Had a recent patient who needed a very specific knee procedure to walk normally and improve quality of life.,"Недавно у меня был пациент, которому была необходима очень специфическая процедура на колене, чтобы нормально ходить и улучшить качество жизни.","У меня недавний пациент, которому была необходима очень специфическая операция на колене, чтобы нормально ходить и улучшить качество жизни."
Peer to peer failed.,Ошибка одноранговой сети.,Peer to peer failed.
Insurance says it’s not medically necessary.,"В страховке говорится, что это не является необходимым с медицинской точки зрения.","Страховка говорит, что это не медицински необходимо."
We appeal.,Мы подаем апелляцию.,Мы обращаемся.
They say no again.,Они снова говорят нет.,Они говорят нет снова.
We go to third party appeal.,Мы подаем апелляцию третьей стороне.,Мы идем в апелляцию к третьей стороне.
We submit all the pertinent medical research supporting the need for the procedure.,"Мы предоставили все соответствующие медицинские заключения, доказывающие необходимость процедуры.","Передаем все имеющиеся медицинские исследования, подтверждающие необходимость проведения процедуры."
"We even included the second opinion of a different surgeon outside of our program — yeah, he recommends the procedure.","Мы даже включили независимое заключение другого хирурга, не принимающего участия в программе, — да, он рекомендует процедуру.","Мы даже включили второе мнение другого хирурга, не входящего в нашу программу — да, он рекомендует эту процедуру."
"24 hours later, they hit us back with the final “No.","Спустя 24 часа, они поразили нас окончательным «Нет.","24 часа спустя, они ответили нам с последним ""Нет."
Not medically necessary.”,Не является необходимым с медицинской точки зрения».,"""Необходимо по медицинским показаниям."""
My surgeon flips his shit and is like “FINE!,"Мой хирург вышел из себя и ведет себя, как будто думает «ХОРОШО!","Мой хирург просто теряет голову и говорит: ""Хорошо!"""
"But you’re going to fucking tell me which procedure you would recommend, because I don’t know another one that is gonna help this poor kid”.","Но вы, черт возьми, скажете мне, какую процедуру вы порекомендуете, потому что я не знаю никакой другой, которая поможет этому бедному парнишке».","Но вы же мне скажете, какую процедуру вы рекомендуете, потому что я не знаю другой, которая поможет этому бедному ребенку?"
"Of course, they don’t.","Конечно, они этого не делают.","Решилось, что нет."
And this kid is screwed.,И конец этому парню.,И этот ребенок подставлен.
No other option.,Нет других вариантов.,Нет другого варианта.
As it turns out this procedure is generally hated by insurance because it’s pretty expensive.,"Как оказалось, эту процедуру страховые службы обычно ненавидят, потому что она очень дорогая.","Как оказалось, эта процедура в целом не нравится страховым компаниям, потому что она достаточно дорогая."
"We always have to fight for it, but they’ll usually agree after an appeal.","Нам всегда приходится биться за это, но они обычно соглашаются после апелляции.","Мы всегда должны бороться за это, но обычно они соглашаются после апелляции."
Not this time.,Не в этот раз.,Не этот раз.
The system is so broken.,Система настолько испорчена.,Система так и не работает.
A Thief’s Pants Falls Down As He Attempts To Flee.,"Штаны вора падают, когда он пытается скрыться.","Крадущийся вороватый пытается убежать, но его штаны срываются."
"So to note, I didn’t witness this.","Заметьте, я не был свидетелем этого.","Да, чтобы отметить, я этого не видел."
I was told this by co-workers at my first retail job.,Мне это рассказали коллеги на моей первой работе в сфере розничной торговли.,Меня об этом рассказали коллеги по работе в моем первом магазине.
These two guys came to the store.,Эти два парни пришли в магазин.,Два этих парня пришли в магазин.
One of them was pretty infamous in town for always being in trouble with the law.,"Один из них был довольно печально известен в городе, так как у него всегда были проблемы с законом.","Один из них был довольно известен в городе за то, что всегда попадал в неприятности с законом."
"After a while of browsing, the infamous one left and went back to his vehicle while the other one took a shopping cart, and put a large 500 dollar socket set in it.","Осмотревшись немного, тот, что был печально известным, ушел и вернулся к машине, пока другой взял тележку для покупок и положил в нее большой набор инструментов за 500 долларов.","После некоторого времени просмотра, знаменитый человек ушел и вернулся к своей машине, а другой человек взял тележку и положил в нее большую 500-долларову набор шуру"
"This accomplice then waited until the two cashiers at the exit door were busy, then walked right by them and out the door.","Затем этот сообщник подождал, пока оба кассира будут заняты, потом прошел прямо мимо них и вышел за дверь.","Затем сообщник подождал, пока двое кассиров у выходной двери были заняты, затем прошел прямо мимо них и вышел из двери."
"Both of them noticed, and asked each other if the guy paid.","Они оба заметили и спросили друг у друга, платил ли этот парень.","Оба они заметили и спросили друг друга, заплатил ли парень."
"When it was confirmed he didn’t, one ran after him.","Когда подтвердилось, что он этого не сделал, один побежал за ним.","Когда подтвердилось, что он не сделал, один из них бросился за ним."
"I was told the cashier shouted for him to stop as she chased after him, but he began running with the cart to the getaway vehicle.","Мне рассказали, что когда кассир погналась за ним, она крикнула, чтобы тот остановился, но он побежал с тележкой к машине для побега.","Мне сказали, что кассирша закричала ему, чтобы он остановился, и гналась за ним, но он начал бежать с тележкой к машине-убежище."
"I don’t know if he was one of those guys who liked wearing his pants low, or he didn’t have a belt on.","Я не знаю, был ли он одним из тех ребят, которые любят носить штаны приспущенными или он просто не надел ремень.","Я не знаю, был ли он одним из тех парней, которые любят носить штаны низко, или у него просто не было ремня."
"But I was told his pants started falling down, and he was struggling to pull them up while running and pushing a cart with a heavy socket set.","Но мне рассказали, что его штаны начали падать и он пытался подтянуть их на бегу, толкая тележку с тяжелым набором инструментов.","Но мне сказали, что его штаны начали спадать, и он с трудом пытался подтянуть их, бегая и толкая тележку с тяжелым набором отверток."
"He then ditches the cart, leaving the socket set in it as he yanked his pants up, and ran to the getaway vehicle, jumping in with his infamous accomplice diving them off.","Затем он бросил тележку, оставив в ней набор инструментов, дернул штаны вверх и побежал к машине для побега, запрыгнул внутрь к своему печально известному сообщнику, который умчал их прочь.","Затем он бросает тележку, оставляя набор гаечных ключей в ней, когда он подтягивает штаны, и бежит к автомобилю-убежище, прыгая"
"Sunday Best: Enter 1880s New York in HBO's ""The Gilded Age""",Лучшее в воскресенье: отправьтесь в Нью-Йорк 1880-х с телесериалом HBO «Позолоченный век»,"Воскресное наряд: Войдите в Нью-Йорк 1880-х годов в HBO ""Золотой век"""
Hat and parasol alert!,Не забудьте шляпу и зонтик!,Накал и зонт!
"""The Gilded Age,"" created by Julian Fellowes (""Downton Abbey"") and written by Fellowes and Sonja Warfield, premieres next month on HBO.","В следующем месяце на HBO состоится премьера телесериала «Позолоченный век», созданного Джулианом Феллоузом («Аббатство Даунтон») по сценарию Феллоуза и Сони Уорфилд.","""Золотой век"", созданный Джулианом Феллоузом (""Дownton Abbey"") и написанный Феллоузом и Соней Ворфилд, премьера которого состоится в следующ"
"Set in 1880s New York, it follows Marian Brook (Louisa Jacobson, above left) and aspiring writer Peggy Scott (Denée Benton, right) as they newly encounter old-money society.","Расположенный в 1880-х годах в Нью-Йорке, он следует за Мариан Брук (Луиза Джейкобсон, вверху слева) и начинающей писательницей Пегги Скотт (Дене Бентон, справа), когда они впервые сталкиваются с миром состоятельных пожилых людей.","В 1880-х годах в Нью-Йорке, это следует Марьян Брук (Луиза Джейкобсон, слева) и стремящейся писательнице Пегги Скотт"
"Also in the cast are Christine Baranski, Cynthia Nixon, Carrie Coon and Morgan Spector, among many more.","Также в актерском составе Кристин Барански, Синтия Никсон, Керри Кун и Морган Спектор, а также многие другие.","Также в актёрском составе присутствуют Кристин Баранска, Синтия Никсон, Карри Куон и Морган Спектор, а также многие другие."
"Good fun for the winter, no?","Отличная зимняя забава, не правда ли?","Хорошая весна для зимы, да?"
"The costumes, which look to be quite lavish indeed, are designed by Kasia Walicka-Maimone, whose previous work includes ""The Goldfinch,"" ""A Quiet Place"" and ""Moonrise Kingdom.""","Костюмы, которые действительно выглядяn достаточно дорого, созданы Касией Валика-Маймоне, предыдущие работы которой включают «Щегол», «Тихое место» и «Королевство полной луны».","Костюмы, которые, судя по всему, действительно очень изысканные, созданы Касией Валицкой-Маймоне, чей предыдущий опыт включает в себя ""Золот"
"""The Gilded Age"" begins streaming on HBO Max on Jan. 24th.",Трансляция телесериала «Позолоченный век» на HBO Max начинается 24 января.,"""Эпоха гладкого золота"" начинает выходить в стриминг на HBO Max 24 января."
Joe Biden Laments Failure to Stop Global Warming After Deadly Tornados,Джо Байден сожалеет о неспособности остановить глобальное потепление после смертоносных торнадо,Джо Байден выражает сожаление по поводу неудачи в борьбе с глобальным потеплением после смертоносных торнадо
President Joe Biden lamented the world's failure to stop global warming on Saturday after addressing the deadly tornadoes that swept through several states.,"В субботу президент Джо Байден посетовал на неспособность всего мира остановить глобальное потепление после того, как он упомянул о серии смертоносных торнадо, обрушившихся на территорию нескольких штатов.","Президент Джо Байден пожаловалась на мировой провал в борьбе с глобальным потеплением в субботу после того, как обратился к смертоносным торнадо, которые обру"
"""We all know that everything is more intense when the climate is warming.","«Все мы знаем, что процессы проходят интенсивнее, когда климат становится теплее.","""Мы все знаем, что все становится более интенсивным, когда климат становится теплее."
"Everything,"" he said.","Все», — сказал он.","""Всё,"" - сказал он."
"""And obviously it has some impact here.""","«И очевидно, что это имеет определенное влияние».","""И, очевидно, это имеет некоторое влияние здесь."""
"At least 30 tornadoes were reported across six different states causing widespread devastation, and over 100 people are expected killed from the storm.","Сообщается как минимум о 30 торнадо, зафиксированных в шести штатах, которые привели к масштабным разрушениям, предположительно, в результате бури погибло более 100 человек.","Всего по меньшей мере 30 торнадо было зафиксировано в шести разных штатах, причинившее широкомасштабное разрушение, и более 100 человек могут погибнуть от этого"
"The president said he did not know the full extent of global warming's contribution to the deadly storms, which he described as one of the ""largest tornado outbreaks in history.""","Президент сообщил, что многого не знает о том, как глобальное потепление влияет на смертоносные бури, которые он описывает как одни из самых «масштабных вспышек торнадо в истории».","Президент заявил, что не знает полной степени воздействия глобального потепления на смертоносные штормы, которые он описал как одну из ""самых крупных вспышек тор"
He said he would get the Environmental Protection Agency to investigate.,"Он сказал, что привлечет к расследованию Агентство по охране окружающей среды.","Он сказал, что он заставит Агентство по охране окружающей среды провести расследование."
"""All that I know is that the intensity of the weather across the board has some impact as a consequence of the warming of the planet,"" Biden said.","«Все, что мне известно, это то, что резкая смена погоды вдоль границы является результатом потепления на планете и обладает определенным влиянием», — сообщил Байден.","""Всё, что я знаю, это то, что интенсивность погоды во всех странах имеет некоторое влияние в качестве последствий глобального потепления,"" - сказал Байден."
The president praised the reporter who asked him about climate change.,"Президент похвалил журналиста, задавшего вопрос об изменении климата.","Президент похвалил репортера, который спросил его о изменении климата."
"""As usual, you ask always the best question,"" he said with a wry chuckle.","«Как обычно, вы задали самый интересный вопрос», — сказал он с усмешкой.","""Как обычно, вы всегда задаете лучший вопрос,"" - сказал он с насмешливым смехом."
"""How are we going to handle this?"" he continued.",«Как нам с этим справиться?» — продолжил он.,"""Как нам с этим справиться?"" - продолжил он."
"""Part of it is acknowledging that the likelihood of fewer weather catastrophes, absent of continued movement on dealing with global warming, it's just not going to happen.""","«Частично — это признать то, что климатических катастроф не станет меньше и без регулярного движения против глобального потепления нельзя обойтись».","""Частью этого является признание того, что вероятность меньшего количества погодных катастроф, в отсутствие продолжающихся усилий по борьбе с глобальным потеплением, просто не произойдет."""
"Biden said he was shocked by the record wildfires in the country during 2021, expressing alarm that global warming was a major contribution.","Байден признался, что его потрясло число лесных пожаров, произошедших в стране за 2021 год, и выразил опасения, что главной причиной послужило глобальное потепление.","Байден заявил, что был шокирован рекордными лесными пожарами в стране в 2021 году, выразив тревогу по поводу того, что глобальное потепление является"
"""So we have to act,"" he said.","«Поэтому мы должны действовать», — сказал он.","""Так мы должны действовать,"" - сказал он."
Biden said the first step was to save lives and care for the families who were affected by the storms.,"Байден заявил, что главное — это спасение людей и забота о семьях, которые пострадали в результате бури.","Байден сказал, что первым шагом было спасти жизни и заботиться о семьях, пострадавших от штормов."
"""I promise you.",«Я обещаю вам.,"""Я обещаю вам."""
Whatever is needed.,"Все, что необходимо.","Всё, что нужно."
"Whatever is needed, the federal government is going to supply it,"" Biden said.","Все, что потребуется, предоставит федеральное правительство», — сказал Байден.","""Всё, что понадобится, федеральное правительство обеспечит это"", - сказал Байден."
He said he would continue to monitor the storm recovery closely and do whatever was needed by the federal government.,"Он сказал, что продолжит непосредственно следить за работами по восстановлению после шторма и делать все, что необходимо со стороны федерального правительства.","Он заявил, что будет продолжать внимательно следить за восстановлением после урагана и делать все, что потребует федеральное правительство."
"""I want folks in all these states to know.","«Я хочу, чтобы народ всех этих штатов знал.","""Я хочу, чтобы люди в этих штатах знали."
We're going to get through this.,Мы это преодолеем.,Мы справимся.
"We're going to get through this together and the federal government is not going to walk away,"" he said.","Мы преодолеем это вместе, и федеральное правительство не останется в стороне», — заявил он.","Мы справимся с этим вместе, и федеральное правительство не уйдет, - сказал он."
"""This is one of those times when we aren't Democrats or Republicans.""","«Это время, когда неважно, демократы мы или республиканцы».","""Это один из тех случаев, когда мы не демократы или республиканцы."""
The president said he would visit the storm affected areas when it was clear he would not get in the way of local rescue efforts.,"Президент сообщил, что посетит районы, пострадавшие от бури, когда это точно не помешает местным спасательным работам.","Президент заявил, что он посетит районы, пострадавшие от штурма, когда станет ясно, что он не помешает местным спасательным усилиям."
"""I do plan on going,"" he said.","«Я собираюсь поехать», — сообщил он.","""Я, действительно, собираюсь туда поехать,"" - сказал он."
Can you please disconnect your eReader from the computer and try a factory reset?,Можете отсоединить Вашу электронную книгу от компьютера и попробовать сбросить настройки до заводских?,Можно ли отключить ваш eReader от компьютера и попробовать сбросить его до заводских настроек?
This will delete the information on your eReader but you can make a back up and transfer the information again afterwards,"Это действие удалит информацию с вашего устройства eReader, но вы можете сделать резервную копию и перенести информацию обратно после его выполнения","Это удалит информацию с вашего электронного чита, но вы можете сделать резервную копию и перенести информацию обратно после этого."
You can follow these steps:,Вы можете выполнить следующие действия:,Вы можете следовать этим шагам:
"To perform a factory reset on your #PRS_ORG#, please follow the steps below:","Чтобы выполнить сброс #PRS_ORG# до заводских настроек, выполните следующие действия:","Чтобы выполнить сброс на заводские настройки на вашем #PRS_ORG#, следуйте нижеуказанным шагам:"
Go to your Home screen.,Вернитесь на главный экран.,Перейдите на экран главного меню.
Tap Home at the top of the screen.,Нажмите «Главный экран» в верхней части экрана.,"Перейдите на главную страницу, нажав на кнопку ""Домой"" в верхней части экрана."
Tap Settings.,Нажмите «Настройки».,Настройки.
Tap Device information.,Нажмите «Сведения об устройстве».,Переключение на информацию устройства.
