inputs,labels,predictions
I see it all the time in my line of work.,Я постоянно вижу такое в своей сфере деятельности.,"A possible translation in Russian is as follows:
Я вижу это все время в своей профессии."
And it doesn’t even have to be life or death to be frustrating.,"И это даже не должно быть вопросом жизни и смерти, чтобы расстраивать.","A possible translation in Russian is as follows:
И даже не обязательно, чтобы это было что-то вроде жизни и смерти, чтобы это было расстраивающим."
Had a recent patient who needed a very specific knee procedure to walk normally and improve quality of life.,"Недавно у меня был пациент, которому была необходима очень специфическая процедура на колене, чтобы нормально ходить и улучшить качество жизни.","A possible translation in Russian is as follows:
У меня был недавно пациент, которому нужна была очень специфическая процедура на колене, чтобы ходить нормально и улучшить качество жизни."
Peer to peer failed.,Ошибка одноранговой сети.,"A possible translation in Russian is as follows:
Отказ между равными."
Insurance says it’s not medically necessary.,"В страховке говорится, что это не является необходимым с медицинской точки зрения.","A possible translation in Russian is as follows:
Страховка говорит, что это не является необходимым с медицинской точки зрения."
We appeal.,Мы подаем апелляцию.,"A possible translation in Russian is as follows:
Мы подаем апелляцию."
They say no again.,Они снова говорят нет.,"AI
 Translation in Russian:
Они снова говорят нет."
We go to third party appeal.,Мы подаем апелляцию третьей стороне.,"A possible translation in Russian is as follows:
Мы подаем апелляцию в третью инстанцию."
We submit all the pertinent medical research supporting the need for the procedure.,"Мы предоставили все соответствующие медицинские заключения, доказывающие необходимость процедуры.","A possible translation in Russian is as follows:
Мы предоставляем все соответствующие медицинские исследования, подтверждающие необходимость процедуры."
"We even included the second opinion of a different surgeon outside of our program — yeah, he recommends the procedure.","Мы даже включили независимое заключение другого хирурга, не принимающего участия в программе, — да, он рекомендует процедуру.","A possible translation in Russian is as follows:
Мы даже включили второе мнение другого хирурга, не входящего в нашу программу — да, он рекомендует процедуру."
"24 hours later, they hit us back with the final “No.","Спустя 24 часа, они поразили нас окончательным «Нет.","AI: 24 часа спустя, они ответили нам отказом."
Not medically necessary.”,Не является необходимым с медицинской точки зрения».,"A possible translation in Russian is as follows:
Не является медицински необходимым."
My surgeon flips his shit and is like “FINE!,"Мой хирург вышел из себя и ведет себя, как будто думает «ХОРОШО!","A possible translation in Russian is as follows:
Мой хирург сходит с ума и говорит: ""ХОРОШО!"""
"But you’re going to fucking tell me which procedure you would recommend, because I don’t know another one that is gonna help this poor kid”.","Но вы, черт возьми, скажете мне, какую процедуру вы порекомендуете, потому что я не знаю никакой другой, которая поможет этому бедному парнишке».","A possible translation in Russian is as follows:
Но ты собираешься мне рассказать, какой метод ты бы порекомендовал, потому что я не знаю другого, который поможет этой бедной девочке""."
"Of course, they don’t.","Конечно, они этого не делают.","A possible translation in Russian is as follows:
Конечно, они этого не делают."
And this kid is screwed.,И конец этому парню.,"A possible translation in Russian is as follows:
И этот парень в беде."
No other option.,Нет других вариантов.,"A possible translation in Russian is as follows:
Никаких других вариантов."
As it turns out this procedure is generally hated by insurance because it’s pretty expensive.,"Как оказалось, эту процедуру страховые службы обычно ненавидят, потому что она очень дорогая.","A possible translation in Russian is as follows:
Как оказывается, эта процедура вообще не нравится страховщикам, потому что она довольно дорогая."
"We always have to fight for it, but they’ll usually agree after an appeal.","Нам всегда приходится биться за это, но они обычно соглашаются после апелляции.","A possible translation in Russian is as follows:
Мы всегда должны бороться за это, но они обычно соглашаются после апелляции."
Not this time.,Не в этот раз.,"A possible translation in Russian is as follows:
Не в этот раз."
The system is so broken.,Система настолько испорчена.,"A possible translation in Russian is as follows:
Система настолько сломана."
A Thief’s Pants Falls Down As He Attempts To Flee.,"Штаны вора падают, когда он пытается скрыться.",A thief's pants fall down as he attempts to flee
"So to note, I didn’t witness this.","Заметьте, я не был свидетелем этого.","A possible translation in Russian is as follows:
Я хочу отметить, что я не был свидетелем этого."
I was told this by co-workers at my first retail job.,Мне это рассказали коллеги на моей первой работе в сфере розничной торговли.,"A possible translation in Russian is as follows:
Мне это рассказали коллеги по первой работе в сфере розничной торговли."
These two guys came to the store.,Эти два парни пришли в магазин.,AI
One of them was pretty infamous in town for always being in trouble with the law.,"Один из них был довольно печально известен в городе, так как у него всегда были проблемы с законом.","A possible translation in Russian is as follows:
Один из них был довольно печально известен в городе тем, что постоянно попадал в неприятности с законом."
"After a while of browsing, the infamous one left and went back to his vehicle while the other one took a shopping cart, and put a large 500 dollar socket set in it.","Осмотревшись немного, тот, что был печально известным, ушел и вернулся к машине, пока другой взял тележку для покупок и положил в нее большой набор инструментов за 500 долларов.","A possible translation in Russian is as follows:
После некоторого времяпрепровождения злоумышленник ушел и вернулся к своему автомобилю, а другой взял тележку и положил в нее большой набор инструментов за 500 долларов."
