inputs,labels,predictions
Hrópað á heiminn,Screaming at the world,"The translation of ""Hrópað á heiminn"" from Icelandic to English is:

""Rained on the world""

However, I think a more idiomatic translation would be:

""Rained on the parade""

This is a common English"
Markaðsherferðin Looks Like You Need Iceland þykir hafa farið vel af stað og hróp og köll úti í náttúrunni eru farin að toga í fólk vítt og breitt um heiminn.,"The marketing campaign Looks Like You Need Iceland is considered to have gone off to a good start, and screaming and yelling in nature is beginning to pull in people all over the world.","Here is the translation from Icelandic to English:

""Market dominance Looks Like You Need Iceland thinks it's gone well and the roar and call of the wilderness are beginning to wear off on people all over the world.""

However, I think a more natural translation"
"„Þið eigið kollgátuna, ég þarfnast Íslands,“ segir kona nokkur úti í hinum stóra heimi í athugasemdum við auglýsingu úr markaðsherferðinni Looks Like You Need Iceland á efnisveitunni YouTube.","""You're right, I need Iceland,"" says a woman somewhere in the world in the comments for an advertisement from the Looks Like You Need Iceland marketing campaign on YouTube.","Here is the translation from Icelandic to English:

“ You don't know the drill, I need Iceland,” says a woman in a comment on a video from the Looks Like You Need Iceland campaign on the YouTube channel.

Note: ""Kollgát"
Annar áhorfandi kveðst munu varðveita Ísland í hjarta sér um alla eilífð og ung kona segist beinlínis verða að komast sem fyrst til Íslands enda sé unnusti hennar búsettur þar.,"Another viewer says they will keep Iceland in their heart for all eternity, and a young woman says she literally has to get to Iceland as soon as possible as her fiancé resides there.","Here is the translation from Icelandic to English:

""Another spectator vows to preserve Iceland in his heart for all eternity and a young woman says she will get there as soon as possible because she loves the place."""
Til allrar óhamingju er hún hins vegar í Bandaríkjunum og gerir því ráð fyrir að þurfa að bíða í einhverja mánuði enn.,"Unfortunately, she's in the United States so she expects to have to wait for another few months.","Here is the translation from Icelandic to English:

For all the inconvenience, she is otherwise in the United States and is making arrangements to have to wait for a few more months."
"Enn einn áhorfandi spyr hvort gönguleiðin til Íslands sé fær, því engar séu flugvélarnar.","Yet another viewer asks whether the walking route to Iceland is clear, because there are no aeroplanes.","Here is the translation from Icelandic to English:

""Another viewer asks if the road to Iceland is open, since there are no planes."""
Ekki fylgir sögunni hvort hann kemur úr öðru tímabelti.,It is left unsaid whether this person is from another time zone.,"Here is the translation of the Icelandic sentence to English:

""It does not follow the story whether he comes from another time period.""

Or, in a more natural-sounding translation:

""The story doesn't specify whether he comes from another time period.""

Note that"
"Egill Þórðarson hjá auglýsingastofunni Peel, sem kom að gerð auglýsinganna ásamt alþjóðlegu auglýsingastofunni M&C Saatchi, segir viðtökur hafa verið vonum framar.","Egill Þórðarson at the advertising agency Peel, who was involved in making the advertisements along with the international advertising agency M&C Saatchi, says that the response has exceeded all expectations.","Here is the translation from Icelandic to English:

Egill Þórðarson at the advertising agency Peel, which was involved in the production of the ads together with the international advertising agency M&C Saatchi, says that the interviews have"
„Ég kom að mörgum Inspired By Iceland-herferðum sem gengið hafa mjög vel en þessi nýja herferð er þegar farin að slá met.,"""I was involved in many Inspired by Iceland campaigns that have been very successful but this new campaign is already breaking records.","Here is the translation from Icelandic to English:

""I've been on many Inspired By Iceland trips that have gone very well, but this new trip is already breaking records."""
"Í grunninn snýst þetta um að búa til PR-gildi, það er að fá erlenda fjölmiðla til að fjalla um herferðina, og það hefur gengið ótrúlega vel.","This basically revolves around creating PR value, that is to get foreign media to cover the campaign, and that has been incredibly successful.","Here is the translation from Icelandic to English:

""This is about creating PR value, getting foreign media to talk about the expedition, and it has gone incredibly well.""

Note: ""PR-gildi"" is a direct translation to ""PR value"", but in"
Á tiltölulega skömmum tíma höfum við fengið umfjöllun í um sjö hundruð fjölmiðlum um allan heim sem samtals ná til ríflega tveggja milljarða manna.,"In a relatively short time, we have received coverage in about 700 media outlets all over the world, with a combined audience of over two billion.","Here is the translation from Icelandic to English:

""In a relatively short time, we have received coverage in over seven hundred media outlets around the world, reaching a total of roughly two billion people."""
"Verðmæti þeirrar umfjöllunar er verðlagt á 1,8 milljarða króna.",The value of this coverage is estimated at ISK 1.8 billion.,"Here is the translation from Icelandic to English:

""The value of that coverage is estimated at 1.8 billion kronur."""
Það er ekki amalegt.“,"That's not too bad.""","The translation of ""Það er ekki amalegt.“ from Icelandic to English is:

""That's not allowed."""
Aðalmarkaðurinn alla jafna er Bandaríkin og hefur herferðin gengið mjög vel þar enda þótt Bandaríkjamenn séu ekki á leið til landsins í bráð.,"The main market is usually the United States, and the campaign has been very successful there, although Americans are not coming to the country anytime soon.","Here is the translation from Icelandic to English:

""The main market for the trip is the United States and the trip has gone very well there, although Americans are not yet on the road to the country.""

Note: I've tried to preserve the original meaning"
"Að sögn Egils hafa þekkt markaðssvæði eins og Danmörk, Bretland og Þýskaland einnig tekið vel við sér, eins Rússland, sem komi þægilega á óvart.","According to Egill, well-known market areas like Denmark, the UK and Germany have also been responsive, as well as Russia, which is a pleasant surprise.","Here is the translation from Icelandic to English:

According to Egil's account, the market area is well-known, as is the case with Denmark, Britain and Germany, and also Russia, which came as a pleasant surprise."
"Þá hafi komið viðbrögð frá framandi svæðum, svo sem Indlandi, sem ekki var lagt sérstaklega upp með.","There has also been a response from remote areas, such as India, which was not a particular objective.","Here is the translation from Icelandic to English:

Then reactions have come from foreign areas, such as India, which was not particularly prepared for it.

Note: I've tried to preserve the original meaning and tone of the sentence, but please let me know"
